database,version,topology,provider,zone,workload,database_actual_version,started_at,finished_at,preset,compile,smoke,full_workloads,baseline_matrix,segment_matrix,component_metrics,managed_database_metrics,database_metric_distributions,component_logs,artifacts,replication,pipeline_traces,native_tps,native_otlp_metrics,fault_campaign,cleanup,run_id,iterations,input,evidence,checked_at,note,component_log_observations,retry_attempts,local_cluster,recheck_run_id,recheck_phase,recheck_stage,recheck_verification,run_phase,run_status_checked_at,run_stage,run_stage_checked_at,infrastructure_provisioning,infrastructure_recovery,recovery_evidence
postgres,18,single,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-pg-retry-daaf3554-pg18-single,273455,matrix/postgres-single-18-simple.json,postgres-matrix-check.json,2026-09-14T14:54:13.720027+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,18,primary-replica,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-pg-final-951a642e-pg18-primary-replica,258251,matrix/postgres-primary-replica-18-simple.json,postgres-matrix-check.json,2026-09-14T14:54:13.720027+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,18,patroni-ha,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-patroni-96794a09-pg18-patroni-ha,134147,matrix/postgres-patroni-ha-18-simple.json,patroni-matrix-check.json,2026-09-14T17:10:31.296357+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,18,pgbouncer,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-pg-versions-ed460e6f-pg18-pgbouncer,106636,matrix/postgres-pgbouncer-18-simple.json,postgres-matrix-check.json,2026-09-14T14:54:13.720027+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,17,single,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-pg-versions-ed460e6f-pg17-single,248890,matrix/postgres-single-17-simple.json,postgres-matrix-check.json,2026-09-14T14:54:13.720027+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,17,primary-replica,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-pg-final-951a642e-pg17-primary-replica,244947,matrix/postgres-primary-replica-17-simple.json,postgres-matrix-check.json,2026-09-14T14:54:13.720027+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,17,patroni-ha,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-patroni-96794a09-pg17-patroni-ha,132109,matrix/postgres-patroni-ha-17-simple.json,patroni-matrix-check.json,2026-09-14T17:10:31.296357+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,17,pgbouncer,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-pg-final-951a642e-pg17-pgbouncer,110919,matrix/postgres-pgbouncer-17-simple.json,postgres-matrix-check.json,2026-09-14T14:54:13.720027+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,16,single,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-pg-retry-daaf3554-pg16-single,226003,matrix/postgres-single-16-simple.json,postgres-matrix-check.json,2026-09-14T14:54:13.720027+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
postgres,16,primary-replica,yandex,ru-central1-a,simple,,,,smoke-2m-2vus,passed,passed,pending,pending,pending,passed,not_applicable,pending,pending,pending,pending,passed,not_applicable,pending,pending,passed,matrix-pg-final-951a642e-pg16-primary-replica,245913,matrix/postgres-primary-replica-16-simple.json,postgres-matrix-check.json,2026-09-14T14:54:13.720027+00:00,,not_checked,,not_applicable,,,,,Completed,2026-09-15T23:36:40.846351+00:00,,,not_recorded,,
